Label,CAGR,Annual Vol,Sharpe,Sortino,Max Drawdown,Calmar,Win Rate,Best Month,Worst Month,Total Return,Years,Lookback,K_val
LB12_K4,0.428198358939218,0.8741083781876436,0.16949579880926882,0.6864966904549924,-0.6489146331501839,0.6598685513694007,0.5917602996254682,3.606952547090514,-0.3066568820568094,2778.9999376950873,22.25,12,4
LB12_K5,0.526875659175625,1.0345363562110848,0.17708868097345085,0.899711718550993,-0.5547106012646128,0.9498207857835589,0.6104868913857678,3.4269401418995313,-0.26124590373408185,12291.258870184382,22.25,12,5
LB12_K6,0.5594235603834024,0.8812365440625712,0.20089473363883353,0.8891527306527219,-0.5674125626053214,0.985920293718495,0.6292134831460674,2.8729531021844856,-0.2721114161558822,19653.003733868674,22.25,12,6
LB12_K7,0.5596132195709242,0.768594833556541,0.21878371216255252,0.8776330394780872,-0.5051231810763558,1.107874753200708,0.6179775280898876,2.475447469826865,-0.24164756120881864,19706.257723444174,22.25,12,7
LB12_K8,0.5272582225784579,0.6897178821681341,0.22592404542121947,0.8031171451427399,-0.5191105007638219,1.0156955442100426,0.6142322097378277,2.1771067165753673,-0.24505326126304489,12359.968566044567,22.25,12,8
LB12_K9,0.5186030654933182,0.6329242346529702,0.23680589721780884,0.8227579783218127,-0.5042117426339456,1.0285422207428052,0.6367041198501873,1.936185639861491,-0.2295643525100996,10891.687815442787,22.25,12,9
LB12_K10,0.5150042366089955,0.6015404856109787,0.2434049567370655,0.8409731089307844,-0.5431164564922777,0.9482390571170589,0.6404494382022472,1.8598567091570204,-0.2337065789069504,10331.563971205407,22.25,12,10
LB12_K11,0.4829667724618729,0.5617677227224234,0.24404615980114638,0.782117833051962,-0.5401047094406661,0.8942095190431399,0.6254681647940075,1.697464897283575,-0.22765872967840128,6421.056191988015,22.25,12,11
LB12_K12,0.4638063496081992,0.5305354324018225,0.24706157037827078,0.7493586994274051,-0.5494566923317139,0.8441181190094478,0.6329588014981273,1.5741823201642688,-0.2196891471026018,4807.511883452335,22.25,12,12
LB12_K13,0.45729454712304163,0.5035216412363896,0.25393271313585797,0.7299413672534064,-0.5378949410863717,0.8501558802532263,0.6404494382022472,1.4530875169591235,-0.2185596837477117,4353.399907750161,22.25,12,13
LB12_K14,0.4628653568143646,0.47779761429046047,0.26603033980039376,0.7496066506779878,-0.5225410471432334,0.8857971241587245,0.6329588014981273,1.3506376598525638,-0.216840553300295,4739.202586244388,22.25,12,14
LB12_K15,0.4557897469721306,0.4563770476802131,0.27197364379379724,0.731587855429101,-0.5333334338923723,0.8546056144383962,0.6404494382022472,1.2694430005593782,-0.21456918759365043,4254.446194958766,22.25,12,15
LB12_K16,0.45898489386619445,0.43965717599611454,0.28104210997546003,0.7453244293855645,-0.5416649228885985,0.8473594550271286,0.6591760299625468,1.200237584038126,-0.21030012090879951,4467.175215022272,22.25,12,16
LB12_K17,0.45331409446107185,0.42851385235931977,0.2838973374845968,0.7302279724472246,-0.5673763774853885,0.7989654001284993,0.6666666666666666,1.1579207339207007,-0.2024592103937078,4096.307425196226,22.25,12,17
LB12_K18,0.44760249257381357,0.4138648363052736,0.2886248512461529,0.7194638482058414,-0.5564064074540969,0.8044524408370342,0.6554307116104869,1.0986130045594988,-0.20578165364728124,3752.5950669328995,22.25,12,18
LB12_K19,0.4333076443985162,0.4029216412392955,0.28728481584580023,0.7074807507036444,-0.5561271129000851,0.7791521656603085,0.6479400749063671,1.0428757659599042,-0.2058595776898733,3008.8997535457856,22.25,12,19
LB12_K20,0.430201460663006,0.3933923702614809,0.2908627410271856,0.7092431558820266,-0.5534053675327509,0.7773713192934407,0.6554307116104869,1.0044017051857732,-0.2068505460734004,2867.0590176098885,22.25,12,20
