CAGR,Vol,Sharpe,Sortino,Max DD,Calmar,Win Rate,Beat SPY 5Y,Worst Mo,Best Mo,Lookback,K,Composite
0.36059620065868603,0.17135444160471042,0.49929427828071493,1.011097600122654,-0.15838064055307322,2.2767694296440895,0.6148148148148148,1.0,-0.09734813753081575,0.19885097969316987,9,17,0.661
0.3498002611517055,0.1702791397114025,0.4883664125486036,0.9598734526803555,-0.1628434214960647,2.148077324450953,0.6222222222222222,1.0,-0.0985799235865555,0.19346231017757734,9,18,0.5615
0.3425334845050625,0.1678802969738636,0.4851949481391061,0.9449817629365848,-0.16817409559682187,2.036779108515305,0.6074074074074074,1.0,-0.0993709443545863,0.19871677201065974,9,19,0.5275
0.3372507840972372,0.1656093890762011,0.484169288744513,0.9445850015598072,-0.15930853488431743,2.1169662023577915,0.6222222222222222,1.0,-0.09575164873803912,0.19891243536565942,9,20,0.5015000000000001
0.4413931425140145,0.4841853394544032,0.2682211361542084,0.4887231062790624,-0.7898809772160329,0.5588096880997467,0.5205992509363296,0.8990384615384616,-0.40117414541013907,0.7414521252787116,12,1,0.2915
0.5663182640512396,0.3641113239109102,0.38758786440047055,0.7154928166380345,-0.35274427721460805,1.6054640730760719,0.5842696629213483,1.0,-0.2766272765061209,0.4862258713857396,12,2,0.417
0.5899468157536174,0.33143017240374173,0.42874248091331413,0.924417356720009,-0.21739637197740325,2.713692093329589,0.602996254681648,1.0,-0.21739637197740322,0.618342907043199,12,3,0.6315
0.5170401784738479,0.2836093609399739,0.43872982112140546,0.9268178575147366,-0.18605776126527038,2.7789229267178053,0.6067415730337079,1.0,-0.16271393440806095,0.5441708692952426,12,4,0.655
0.46649480509670993,0.25701449948926663,0.4381996196781303,0.8451910238911047,-0.2034232795359842,2.293222320281146,0.5955056179775281,1.0,-0.2034232795359842,0.4491790617880449,12,5,0.5555
0.4519814373888471,0.23883041900863183,0.45441233209614457,0.8905393586176708,-0.18181551476542687,2.4859343712882835,0.5842696629213483,1.0,-0.18181551476542687,0.3786382040916072,12,6,0.5965
0.44475135595941384,0.21914281005872238,0.4831676712271506,0.9284143791483978,-0.18647978470661178,2.384984284806743,0.5955056179775281,1.0,-0.18647978470661178,0.3247079342022426,12,7,0.654
0.443674752591785,0.21330519627069636,0.49384015472278336,0.9467728948387221,-0.18647155024664624,2.3793160511881606,0.5842696629213483,1.0,-0.18647155024664636,0.3129579378037762,12,8,0.7024999999999999
0.43429205386799263,0.2062333551856482,0.499327395582507,1.0103042117657925,-0.16400504097129937,2.6480408851822617,0.5917602996254682,1.0,-0.1640050409712994,0.2795113802828323,12,9,0.7619999999999999
0.4168487398274612,0.19919801402680073,0.49684536284464664,1.008893610387978,-0.16031683729826754,2.600155709483709,0.5955056179775281,1.0,-0.16031683729826765,0.2589923661041388,12,10,0.722
0.40231857583040553,0.19174481515295363,0.49820975981048754,0.985943668929304,-0.15762492886722113,2.552379111106896,0.5917602996254682,1.0,-0.15762492886722113,0.2338864216155965,12,11,0.6920000000000001
0.3897829112880955,0.18794181984162445,0.49306530537408005,0.9841261939777018,-0.1487943877271787,2.619607615865057,0.5880149812734082,1.0,-0.14879438772717862,0.22692744620076377,12,12,0.6595
0.3798658419845027,0.18338837722822252,0.4924897102711546,0.9852979238801872,-0.14011265168777864,2.711145905874227,0.5880149812734082,1.0,-0.1394628323517866,0.20967775109586823,12,13,0.659
0.36924179225606557,0.1789899113536318,0.49056228803753127,0.9939938427358401,-0.13809758272470932,2.6737744786752042,0.5917602996254682,1.0,-0.12800065797668655,0.2122257901903384,12,14,0.6439999999999999
0.36076875041858014,0.17437180922863593,0.49175511441957137,0.996610419193319,-0.1296233604291562,2.7832078201348063,0.5917602996254682,1.0,-0.12289284072553987,0.20129416698157396,12,15,0.6589999999999999
0.34458869183546215,0.17023991330708557,0.48174720260306225,0.9808428968439652,-0.12811467318618494,2.6896895044542046,0.5842696629213483,1.0,-0.12085048545853835,0.1859594374958524,12,16,0.5549999999999999
0.33892032058720445,0.1674358063808622,0.48162349950418654,0.9477566807854272,-0.13063482705906784,2.594410144807389,0.5955056179775281,1.0,-0.12167146738496593,0.1747609438702204,12,17,0.5155
0.3309273352077209,0.16528345073339418,0.476600373367158,0.9208224101899988,-0.13623327360026813,2.4291226839246236,0.5955056179775281,1.0,-0.11387544413328106,0.1753054949499515,12,18,0.4655
0.32864772437012446,0.16212215588547993,0.48190751218923644,0.9293088293698324,-0.14106004217460577,2.3298428052596245,0.602996254681648,1.0,-0.10970227388967381,0.16879639016546175,12,19,0.48149999999999993
0.31459916089304163,0.15967487274647854,0.46895447291979947,0.9013848481257455,-0.13389421681165553,2.349609776914993,0.5955056179775281,1.0,-0.10716158640780274,0.16755935740967015,12,20,0.4255
